Politician,Quote,Image URL,char_count,word_count,word_length,adv_count,adj_count,noun_count,verb_count,det_count,sentiment,named_entities,named_entities_count
Joe Biden,in more than    cases  judges  looked at the allegations that trump was making and determined they were without any merit,true,121,20,4.85,13.0,13.0,13.0,13.0,13.0,0.0176,,0
Mike Gallagher,congress has one job here  to count electoral votes that have in fact been cast by any state,true,92,18,4.111111111111111,13.0,13.0,13.0,13.0,13.0,0.0,"('congress', 'ORG'), ('one', 'CARDINAL')",2
Pat Toomey,in my state  as in many other states  we have governors who are closing down businesses again,true,93,17,4.411764705882353,10.0,10.0,10.0,10.0,10.0,0.0,,0
Chris Larson,jurisdictions representing about     of wi residents have passed referendums or resolutions in favor of fair maps,true,113,16,5.875,11.0,11.0,11.0,11.0,11.0,0.6124,,0
Mike Gallagher,new data shows in person learning isn t driving spikes in cases,true,63,12,4.333333333333333,10.0,10.0,10.0,10.0,10.0,0.0,,0
Tim Carpenter,wisconsin is one of the few states that doesn t allow absentee ballots to be processed before election day,true,106,19,4.631578947368421,14.0,14.0,14.0,14.0,14.0,-0.0516,"('wisconsin', 'ORG'), ('one', 'CARDINAL'), ('doesn', 'GPE'), ('election day', 'DATE')",4
JB Pritzker,republican elected officials  a network of propaganda publications in the state and some radio shock jocks  were spreading  a lie  about his daughter breaking covid    restrictions,true,180,26,5.6923076923076925,21.0,21.0,21.0,21.0,21.0,-0.5574,"('republican', 'NORP')",1
Mandy Cohen,says covid    has killed more north carolinians in a year than the flu has in    years,true,86,16,4.0625,13.0,13.0,13.0,13.0,13.0,-0.7964,"('a year', 'DATE')",1
Ralph Northam,people of color and those of not  they use marijuana at the same rate  people of color are three times more likely to get arrested and convicted,true,144,27,4.296296296296297,18.0,18.0,18.0,18.0,18.0,-0.4767,"('marijuana', 'PERSON'), ('three', 'CARDINAL')",2
X posts,when donald trump lost the iowa caucus to ted cruz in        he immediately cried that cruz cheated,true,99,17,4.470588235294118,12.0,12.0,12.0,12.0,12.0,-0.802,"('donald trump', 'PERSON'), ('iowa', 'GPE')",2
Tammy Baldwin,we heard from the department of homeland security     that this was probably the most secure election that s ever been run in the united states,true,143,25,4.6,19.0,19.0,19.0,19.0,19.0,0.7841,"('the united states', 'GPE')",1
Joe Biden,i ve released    years of my tax returns  you can go online and look   donald trump  hasn t released one,true,104,20,3.9,14.0,14.0,14.0,14.0,14.0,0.0,"('donald trump', 'PERSON'), ('one', 'CARDINAL')",2
Theresa Greenfield,farm bankruptcies are  at an eight year high,true,44,8,4.5,6.0,6.0,6.0,6.0,6.0,0.0,"('an eight year', 'DATE')",1
Roy Cooper,says dan forest has  missed almost half of the board of education meetings during the pandemic,true,94,16,4.875,13.0,13.0,13.0,13.0,13.0,-0.296,"('dan forest', 'PERSON'), ('almost half', 'CARDINAL')",2
Robyn Vining,my      election was the first time speaker robin vos has lost a republican held seat,true,85,15,4.4,14.0,14.0,14.0,14.0,14.0,-0.3182,"('first', 'ORDINAL'), ('robin vos', 'PERSON'), ('republican', 'NORP')",3
Facebook posts,joe biden  wants to get rid of something called  stepped up basis   that reduces inheritance taxes,true,98,16,4.9375,12.0,12.0,12.0,12.0,12.0,0.0,"('joe biden  ', 'PERSON')",1
Chris Jacobs,while serving as town supervisor  nate mcmurray voted to raise taxes on homeowners,true,82,13,5.3076923076923075,10.0,10.0,10.0,10.0,10.0,0.0,,0
Robert Ortt,with the ongoing pandemic  our state park attendance is at the highest it s ever been,true,85,16,4.3125,12.0,12.0,12.0,12.0,12.0,0.0,,0
Ted Cruz,in       more journalists were killed in mexico than in any other country in the world,true,86,15,4.4,10.0,10.0,10.0,10.0,10.0,-0.6969,"('mexico', 'GPE')",1
John Cornyn,americans died of an overdose in a single year,true,46,9,4.222222222222222,7.0,7.0,7.0,7.0,7.0,-0.5574,"('americans', 'NORP'), ('a single year', 'DATE')",2
Jennifer McClellan,more than half of virginia s school buildings are older than    years,true,69,12,4.583333333333333,9.0,9.0,9.0,9.0,9.0,0.0,"('more than half', 'CARDINAL'), ('virginia', 'GPE')",2
Tony Evers,says he has issued more pardons than  any wisconsin governor in contemporary history,true,84,13,5.461538461538462,10.0,10.0,10.0,10.0,10.0,0.3597,,0
Brian Tyler Cohen,iowa republicans have introduced a bill that would put government installed cameras in every single classroom to livestream school activities for parents to spy on teachers and children,true,185,28,5.642857142857143,20.0,20.0,20.0,20.0,20.0,0.0,"('iowa', 'GPE'), ('republicans', 'NORP')",2
Joni Ernst,in iowa   since we have put a number of the voting laws into place over the last several years   voter id is one of those   we ve actually seen voter participation increase  even in off election years,true,200,37,4.243243243243243,26.0,26.0,26.0,26.0,26.0,0.3818,"('iowa', 'GPE'), ('the last several years', 'DATE'), ('election years', 'DATE')",3
Roger Williams,the number of covid    deaths recorded so far in      has surpassed the total for,true,81,14,4.285714285714286,11.0,11.0,11.0,11.0,11.0,0.0772,,0
Jen Psaki,you are    times more likely to go to the hospital if you re not vaccinated     times more likely to die,true,104,20,3.9,14.0,14.0,14.0,14.0,14.0,-0.6326,,0
Iowa Senate Democrats,gov  kim reynolds  touting      million for iowa broadband   failed to mention these are actually federal funds approved by rep  cindy axne and signed into law by president joe biden,true,182,29,4.9655172413793105,22.0,22.0,22.0,22.0,22.0,-0.296,"('gov  kim reynolds  touting', 'PERSON'), ('cindy axne', 'PERSON'), ('joe biden', 'PERSON')",3
NYS Department of Corrections and Community Supervision,new york is  leading the nation with the lowest imprisonment rate of any large state,true,84,15,4.6,13.0,13.0,13.0,13.0,13.0,-0.3818,"('new york', 'GPE')",1
Cindy Axne,iowa ranks   th in the u s  for internet connectivity,true,53,10,4.1,8.0,8.0,8.0,8.0,8.0,0.0,"('iowa', 'GPE')",1
David Gura,fun fact  west virginia is home to zero billionaires,true,52,9,4.777777777777778,7.0,7.0,7.0,7.0,7.0,0.5106,"('west virginia', 'GPE'), ('zero', 'CARDINAL')",2
Kelda Helen Roys,says gubernatorial candidate rebecca kleefisch  worked with scott walker to sign five abortion restrictions into law that took away services and threatened doctors with prison time for providing safe and legal abortions,true,219,32,5.84375,22.0,22.0,22.0,22.0,22.0,-0.4404,"('five', 'CARDINAL')",1
Randy Feenstra,the biden administration  published a study concluding    of    new cars on the road by      will still require liquid fuels,true,124,19,4.947368421052632,15.0,15.0,15.0,15.0,15.0,0.0,,0
Facebook posts,southwest airlines announce they will no longer terminate employees over the mandate,true,84,12,6.083333333333333,9.0,9.0,9.0,9.0,9.0,-0.296,"('southwest airlines', 'ORG')",1
Mark Pocan,the annual pentagon budget hovers over      billion annually  twice that of the much debated build back better act that costs about      billion annually as currently proposed,true,175,26,5.346153846153846,19.0,19.0,19.0,19.0,19.0,0.4404,"('annual', 'DATE'), ('pentagon', 'ORG'), ('annually', 'DATE'), ('about      billion', 'MONEY'), ('annually', 'DATE')",5
Kathryn Moffett Bradford,if you look at the hospitalizations at ruby memorial in west virginia  and around the country      to     of those hospitalized are unvaccinated,true,144,22,5.136363636363637,13.0,13.0,13.0,13.0,13.0,0.0,"('ruby memorial', 'FAC'), ('west virginia', 'GPE')",2
David McKinley,overdose deaths in wv are up     from the prior year,true,52,10,3.9,8.0,8.0,8.0,8.0,8.0,0.0,"('the prior year', 'DATE')",1
Chris Larson,the gop controlled legislature has  refused to act on at least      appointees of gov  tony evers,true,97,16,4.6875,12.0,12.0,12.0,12.0,12.0,-0.296,"('gop', 'ORG')",1
Mark Pocan,end of eviction moratorium means  millions of americans  could lose their housing in the middle of a pandemic,true,109,18,5.0,12.0,12.0,12.0,12.0,12.0,-0.6908,"('millions', 'CARDINAL'), ('americans', 'NORP')",2
Mitt Romney,the trump administration worked to free       taliban prisoners,true,63,8,6.25,7.0,7.0,7.0,7.0,7.0,0.0,"('taliban', 'ORG')",1
Mandela Barnes,in afghanistan   over     billion dollars spent on military contracts,true,69,9,6.111111111111111,5.0,5.0,5.0,5.0,5.0,0.0,"('afghanistan', 'GPE')",1
Viral image,a photo shows two covid    patients lying on the floor awaiting treatment in florida,true,84,14,4.857142857142857,11.0,11.0,11.0,11.0,11.0,-0.5267,"('two', 'CARDINAL'), ('florida', 'GPE')",2
Craig Thompson,we ve got         miles of roads in this state and     is owned by the locals,true,77,15,3.4,10.0,10.0,10.0,10.0,10.0,0.0,,0
Gwen Moore,pregnant people experience domestic violence during their pregnancy,true,67,8,7.5,6.0,6.0,6.0,6.0,6.0,-0.6249,,0
Chip Roy,a quorum breaking texas democrat said in      that mail in ballot fraud  is the greatest source of voter fraud in this state,true,124,22,4.409090909090909,18.0,18.0,18.0,18.0,18.0,-0.5267,"('texas', 'GPE'), ('democrat', 'NORP')",2
Mandela Barnes,it s been over    years since minimum  wage  and inflation parted ways  then over a decade since the federal minimum went up at all,true,131,24,4.25,17.0,17.0,17.0,17.0,17.0,0.0,,0
Glenn Grothman,we have a record     million job openings in the u s,true,52,11,3.4545454545454546,8.0,8.0,8.0,8.0,8.0,0.0,"('the u s', 'FAC')",1
Mark Born,before the pandemic  just over        were on continuing ui claims  now  there are well over         on state or federal ui benefits,true,132,21,4.476190476190476,14.0,14.0,14.0,14.0,14.0,0.5719,,0
Liquid Death,in georgia  it s  illegal to give people water within     feet of a polling place  and  punishable by up to a year in prison,true,124,24,3.875,14.0,14.0,14.0,14.0,14.0,-0.8689,"('georgia', 'GPE'), ('up to a year', 'DATE')",2
Ashley Hinson,nancy pelosi gave            to boost  lizmathis  s campaign,true,60,8,5.0,7.0,7.0,7.0,7.0,7.0,0.4019,"('nancy', 'PERSON')",1
Jevin Hodge,david schweikert has  been convicted of    house ethics violations,true,66,9,6.0,8.0,8.0,8.0,8.0,8.0,-0.5267,"('david schweikert', 'PERSON')",1
A Better Wisconsin Together,says tim michels  opposes closing the loophole that allows domestic abusers to buy guns,true,87,14,5.214285714285714,12.0,12.0,12.0,12.0,12.0,-0.5574,"('tim michels', 'PERSON')",1
West Virginia Republican Party,overdoses reached an all time high in,true,37,7,4.428571428571429,6.0,6.0,6.0,6.0,6.0,0.1027,,0
Democratic Senatorial Campaign Committee,herschel walker misled about  personally treating       veterans per year   about  graduating from college  and about  working in law enforcement,true,145,19,6.052631578947368,12.0,12.0,12.0,12.0,12.0,0.0,"('herschel walker', 'PERSON')",1
Kathy Hoffman,since       i ve successfully lobbied for the funds to add hundreds of school counselors  lowering our student to school counselor ratio by,true,139,22,5.045454545454546,15.0,15.0,15.0,15.0,15.0,0.296,"('hundreds', 'CARDINAL')",1
Elizabeth Warren,of the folks who have student loans do not have a college diploma  four year diploma  these are people who are truck drivers and who are nail technicians and nurses  aides,true,171,31,4.451612903225806,24.0,24.0,24.0,24.0,24.0,0.0,"('four year', 'DATE')",1
Instagram posts,image claims to show a list of  republican members of congress whose ppp loans were forgiven,true,92,16,4.75,12.0,12.0,12.0,12.0,12.0,0.3818,"('republican', 'NORP'), ('congress', 'ORG')",2
League of Conservation Voters,says republican u s  sen  ron johnson  called climate change  bull      during a record heatwave  and  raked in over     k in fossil fuel cash,true,142,24,4.333333333333333,19.0,19.0,19.0,19.0,19.0,0.0,"('republican', 'NORP'), ('ron johnson', 'PERSON')",2
Francesca Hong,in the wisconsin state assembly this session  more than     of gop bills received a public hearing  meanwhile  the gop allowed less than    of democratic bills to have a hearing,true,177,29,4.793103448275862,22.0,22.0,22.0,22.0,22.0,0.0,"('the wisconsin state assembly', 'ORG'), ('gop', 'ORG'), ('gop', 'ORG'), ('democratic', 'NORP')",4
Greg Abbott,texas  public high school graduation rate is at     overall,true,59,9,5.111111111111111,8.0,8.0,8.0,8.0,8.0,0.0,"('texas', 'GPE')",1
Abigail Spanberger,the four big meat packers are raking in record profits,true,54,10,4.5,8.0,8.0,8.0,8.0,8.0,0.4404,"('four', 'CARDINAL')",1
Levar Stoney,in virginia  black people are eight times   x  more likely than white people to die of gun homicide,true,99,18,4.333333333333333,13.0,13.0,13.0,13.0,13.0,-0.743,"('virginia', 'GPE'), ('eight', 'CARDINAL')",2
Tony Evers,wisconsin s archaic abortion ban is older than    states,true,56,9,5.0,8.0,8.0,8.0,8.0,8.0,-0.5574,"('wisconsin s archaic abortion ban', 'ORG')",1
Democratic Party of Wisconsin,the tax carve out  ron  johnson spearheaded overwhelmingly benefited the wealthiest  over small businesses,true,106,14,6.428571428571429,12.0,12.0,12.0,12.0,12.0,0.4019,"('ron  johnson', 'PERSON')",1
Cavalier Johnson,in a recent year  the milwaukee police department  collected more guns per capita off the streets than in new york,true,114,20,4.65,15.0,15.0,15.0,15.0,15.0,0.0,"('a recent year', 'DATE'), ('milwaukee', 'GPE'), ('new york', 'GPE')",3
Gary Black,in       when raphael warnock ran a campaign ad featuring himself with a beagle   that wasn t his dog,true,101,18,4.222222222222222,12.0,12.0,12.0,12.0,12.0,0.0,"('raphael', 'NORP')",1
Kelda Helen Roys,because of u s  senate rules  democrats need  more than a majority     to codify roe vs  wade,true,93,17,4.0588235294117645,13.0,13.0,13.0,13.0,13.0,0.0,"('senate', 'ORG'), ('democrats', 'NORP')",2
Eric Toney,the state crime lab under attorney general josh kaul  is testing significantly less items than former ag brad schimel and is still taking longer to test many categories of key items in comparison to schimel  including dna,true,221,37,4.945945945945946,30.0,30.0,30.0,30.0,30.0,-0.5423,"('josh kaul  ', 'PERSON'), ('brad schimel', 'PERSON')",2
