Politician,Quote,Image URL
Pete Buttigieg,there is racism physically built into some of our highways,true
Greg Abbott,twice as many children are in border patrol custody under biden than trump peak in,true
Facebook posts,u s  rep  matt gaetz was the lone vote in the house against an anti human trafficking bill,true
Tony Evers,there s still  only  a handful of school districts  doing no in person instruction,true
Jim Justice,west virginia  is the only state to decline in population over the last    years,true
Terry McAuliffe,if you look at the average teacher pay compared to the average pay of your citizens  virginia ranks last,true
Barbara Dittrich,pot today is not the weed baby boomers were smoking,true
Beth Wessel-Kroeschell,of americans and     of gun owners support requiring all gun buyers to pass a background check,true
Facebook posts,the georgia house passed a bill that  makes it a misdemeanor to give food or water to voters waiting in line,true
Chuck Todd,the filibuster was never an idea of the founding fathers,true
Energy Transfer,pipelines do not freeze  they are naturally insulated  they re buried beneath the ground,true
Chris Kapenga,the national academy of medicine points to a significant correlation between marijuana and psychosis  schizophrenia  and other psychotic disorders  particularly in teenagers where the risk of developing schizophrenia increases three fold,true
Tom Cotton,becerra supports bernie s government takeover of your health care  eliminating your employer provided coverage,true
Tom Wolf,we re the only major gas producing state in the us that doesn t have a severance tax,true
Cory Booker,there is a direct connection between discriminatory policies within the usda and the enormous land loss we have seen among black farmers over the past century,true
Beto O'Rourke,energy experts and state house dems  among others  were warning of this  the texas power blackout  for years,true
Facebook posts,the texas power grid is not part of the us power grid because they wanted to avoid federal regulation,true
Gordon Hintz,we know mask mandates work  there s enough evidence out there between counties that have done it and counties that haven t,true
Monica Wallace,significantly more people died of covid    in two months than died of overdoses all of last year or the year before,true
Desiree Rogers,in covid    crisis   only     of african americans had jobs where they could work from home,true
George Borrello,infection rates in allegany  cattaraugus and chautauqua counties have consistently been among the lowest in the state,true
Sara Meaney,since the week ending march     wisconsin actually saw a drop in tourism spending compared to last year of      billion,true
Planned Parenthood,if roe is overturned  wisconsin has a law on the books that would immediately make abortion a crime,true
Joe Biden,today  the gap between african american and white homeownership is larger than it was in the late     s,true
Glenn Grothman,research illustrates a clear correlation between vitamin d deficiencies and  higher  covid    mortality rates,true
Darren Jackson,two thirds of americans disapprove of donald trump not wearing a face mask in public,true
Facebook posts,says gloves shouldn t be worn in public because  if you are wearing the same set of gloves all over town you are only spreading germs everywhere you go,true
American Automobile Association,new york is one of only    states where the average gallon of gas costs more than,true
Chris Kapenga,says it s illegal to hold an absentee only election or mail ballots to every registered voter,true
Jamie Nadler,small trials  to test convalescent plasma therapy for coronavirus patients  seem to have had some degree of success,true
Veronica Escobar,says texas  either is near the bottom or at the very bottom when it comes to testing per capita,true
Jay Chaudhuri,north carolina is  in the small minority of states that requires an absentee ballot to be signed by two witnesses or a notary public,true
Levar Stoney,virginia has  lagged behind other states when it comes to  covid     testing,true
Joe Biden,until this week  they  osha  weren t even enforcing these guidelines  for coronavirus   still today  osha is not specifying which rules employees must follow or how to keep their workers safe and healthy,true
Facebook posts,the poor are  ironically  the most likely to be employed in the industries deemed  essential  while their upper class peers are freed to bunker down for weeks until the first death wave passes,true
Andrew Cuomo,go look at other countries that went through exactly this  started to reopen  and then they saw the infection rate go back up again,true
Facebook posts,africans living in china now being forced to sleep outside in the cold  as  chinese nationals blame them for the rising number of new coronavirus cases in the country,true
Barack Obama,republicans  have shown themselves willing to cut millions off their health insurance and eliminate preexisting condition protections for millions more  even in the middle of this public health crisis,true
Jack Whitver,before covid      iowa had one of the lowest unemployment rates in the country  and many employers were scrambling to find qualified employees to fill their job openings,true
John Bel Edwards,says of the coronavirus threat   there was not a single suggestion by anyone  a doctor  a scientist  a political figure  that we needed to cancel mardi gras,true
Viral image,photo shows a crowded new york city subway train during stay at home order,true
Facebook posts,on february    the who warned about the limited stock of ppe  that same day  the trump administration announced it was sending    tons of masks  gowns and respirators to china,true
Pat Toomey,my mask will keep someone else safe and their mask will keep me safe,true
Dan Crenshaw,says longstanding food and drug administration regulations  created barriers to the private industry creating a test quickly  for the coronavirus,true
Andrew Cuomo,no city in the state can quarantine itself without state approval,true
Kelly Alexander,says  most  nc legislators are in the  high risk age group  for coronavirus,true
Viral image,says spectrum will provide free internet to students during coronavirus school closures,true
Michael Dougherty,some states are only getting    tests per day  and the utah jazz got,true
Jim Justice,says a new annual report shows that  west virginia s tourism industry has grown for the second consecutive year  reversing years of decline and outpacing national growth by    percent,true
Rob Hutton,a  study showed as many as one in four people have had a package stolen from their residence,true
Mark Walker,says the cartels are so bad in a mexican border state that the u s  government issued a  do not travel  warning    the same warning it issued for syria,true
Ron Kind,i am the only member of congress that voted for both inquiries    the clinton inquiry and now the trump inquiry,true
Elizabeth Warren,if we make no changes over the next    years  americans will reach into their pockets and pay out about     trillion on insurance premiums  copays  deductibles and uncovered medical expenses,true
Shelley Moore Capito,on average  one person dies by suicide every    hours in west virginia,true
Darrell Steinberg,californians are unsheltered and homeless,true
Andrew Napolitano,the impeachment inquiry hearings  going on behind closed doors over which congressman schiff is presiding they are consistent with the rules  of the u s  house of representatives,true
Brett McGurk,president trump has sent        american troops to the  middle east  region since may  so he can t tell his political rallies that he s getting troops out of endless wars when he s sending    times the amount back into the region,true
Pete Buttigieg,americans  say that what they want is a choice  to join a single payer system like medicare rather than ending private insurance,true
Joe Manchin,west virginia department of education reported over        children and youth have been identified as homeless for the           school year,true
Glenn Grothman,millionaires are eligible for food stamps  but  donald trump came along and decided to put a stop to it,true
David McKinley,about    percent of america s production of ethylene is produced on the gulf coast in texas and louisiana,true
Josh Hawley,meth production in mo has cratered over last decade  mo hwy patrol reported       meth lab seizures in       only    in,true
Donald Trump,minneapolis  city government preemptively informed the target center that it would be responsible for          in security and other costs  related to a trump rally   more than    times the estimated security costs for a      target center health care rally held by president barack obama,true
Donald Trump,says in the      presidential election   i won that one by    points       points    west virginia,true
Gwen Moore,more than half of death row prisoners are people of color,true
Roy Blunt,u s  agricultural   food exports are expected to increase more than    billion annually under  usmca,true
Josh Kaul,says people convicted of felonies or under restraining orders  can buy a firearm without going through a background check,true
Sheldon Whitehouse,one unnamed donor gave     million to the leo affiliated judicial crisis network to block the nomination of judge merrick garland and to support gorsuch  then a donor   perhaps the same one   gave another     million to prop up kavanaugh,true
Arlen Parsa,thirty four of the    men depicted in the famous  declaration of independence  painting were slaveholders,true
Beto O'Rourke,there are     million guns out on the streets of a country of     million people,true
Samuel Sinyangwe,america has more governors who ve worn blackface than black governors,true
Whoopi Goldberg,the last time people  created a hollywood blacklist   people ended up killing themselves   they were accused  and they lost their right to work,true
Dave Aronberg,florida s red flag gun law has been used  about five times a day,true
Elizabeth Warren,the law says that mental health must be treated the same as physical health   but coverage by health insurers is unequal,true
Michael Bloomberg,if you go back  you can see wayne lapierre  who runs the nra  testifying in front of congress in favor of background checks    or    years ago,true
Tammy Baldwin,more americans are uninsured today than when  president donald  trump took office,true
Beto O'Rourke,says of el paso that some years   in a city of almost          we had five murders the entire year  our average over the last    years is     murders per year   we exceeded that average just on one day  after a gunman opened fire at a walmart in the city,true
Bobby Scott,studies show at the minimum wage  you can t rent a two bedroom apartment anywhere in the united states   a modest  two bedroom apartment,true
Steve McCraw,since       there has been a     reduction in crime in communities at the texas mexico border,true
Facebook posts,rep  ilhan omar  voted yes  to  provide further funding for the      first responders victims fund  while sen  rand paul  voted no,true
Bloggers,triggering leftists  trump s reelection campaign is selling plastic straws,true
Donald Trump,food stamp participation hits    year low,true
Cory Booker,in       we had more marijuana possession arrests in our country than all other violent crimes combined,true
Bernie Sanders,the wealthiest three families now own more wealth than the bottom half of the country,true
Ta-Nehisi Coates,the typical black family in this country has one tenth the wealth of the typical white family,true
Scott Walker,wisconsin is a top    state for health care coverage,true
Beto O'Rourke,in       when he ran for senator   young voter turnout in early voting was up       we won more votes than any democrat has in the history of the state of texas,true
Mark Pocan,the united states is the only industrialized country without universal healthcare,true
Ron Johnson,just the last three weeks  on average about        women  children  men are coming over across the border illegally as family units or as unaccompanied children,true
Ray Cross,most research shows that  uw salaries  are a little behind  and  in  some areas we re behind more than others,true
Seth Moulton,the va negotiates prescription drug prices  medicare doesn t do that,true
Tulsi Gabbard,says immigrant military service members applying for u s  citizenship  are getting rejected at higher numbers than those who are not veterans,true
Chris Taylor,we saw the prison population expand and vacancy rates for correctional officers go from      to        over the last eight years,true
John Hickenlooper,we beat the nra with tough  tough gun laws  in colorado,true
Justin Amash,in fact   high crimes and misdemeanors  is not defined in the constitution and does not require corresponding statutory charges  the context implies conduct that violates the public trust and that view is echoed by the framers of the constitution and early american scholars,true
Kirsten Gillibrand,i actually in      ran on medicare for all,true
Amy Klobuchar,we ve had a     increase in suicides in this country in just    years,true
Tracy McCreery,suicide is the second leading cause of death among       year olds and       year olds in missouri,true
Brandon Creighton,texas actually leads in the number of  confederate  monuments removed,true
Patricia Pike,over    states passed the legislation to ban powdered alcohol   and missouri is not one of them,true
Joe Biden,i m one of the first guys to introduce a climate change bill  way  way back in,true
Ron Johnson,of businesses in wisconsin are small businesses   and they employ  nearly half of our workforce,true
Bernie Sanders,you ve got millions of families paying             of their limited incomes to put a roof over their heads,true
Donald Trump,the unemployment rate for wisconsin workers has reached historic lows  it s never been this low before  ever  ever  ever,true
Elizabeth Warren,speaking of the financial crisis that gained traction in        i talked about it to anyone who would listen  a crisis is coming,true
Letitia James,the enumeration clause speaks to the count of every individual  and not just americans  not just citizens,true
Maxine Lipeles,all the ponds in missouri for which we have data are causing groundwater contamination    this is a statewide issue,true
Bennett Sandlin,says     of people in texas are  crammed into    of the land,true
Amy Klobuchar,big pharmaceuticals pay off   they literally pay off   generics to keep the prices and the competition off the market,true
Stony Rushing,says    out of     gop candidates don t live in north carolina s  th congressional district,true
Bernie Sanders,in my own state of vermont  from the very first days of our state s history  what our constitution says is that everybody can vote  that is true  so people in jail can vote,true
Joe Manchin,i was the only member of the senate   republican or democrat   who has consistently voted against efforts to use the so called  nuclear option  to change the rules of the senate,true
West Virginia Republican Party,west virginia s exports increased for the second year in a row in       reaching      billion  additionally  west virginia s export growth rate was        nearly double the national average of,true
E. Gordon Gee,our state has fewer science  technology  engineering and math graduates than any neighboring state,true
Dan Patrick,since       we have documentation of       dead bodies we have recovered in texas  many in brooks county,true
Mac Heller,the      election was the first election in which voters of color comprised over    percent of the electorate  and that number is going up,true
Allen Thomas,currently     percent of our military s infrastructure is graded as  poor  while   percent is  failing,true
Donald Trump,in new york state  democrats blocked a bill expanding college tuition for gold star families after approving aid for illegal immigrants,true
Donna Howard,there have been zero reported instances of any child born alive after an abortion in texas,true
West Virginia Democratic Party,the affordable care act  provided over         west virginians with health care coverage,true
Shelia Stubbs,wisconsin  has  the highest infant mortality rate for black babies nationwide,true
Dan Patrick,like every budget passed by the senate since i have been lieutenant governor  senate bill   is within the spending limit set by the texas constitution,true
John Torbett,says all north carolina teachers do not currently get a  duty free lunch break,true
Clif Smart,missouri ranks   th in the nation in per capita state fiscal support for higher education and missouri state is last among missouri schools,true
Daniel Riemer,about    percent of  the manufacturing and agriculture  tax credit goes to claimants who are making    million or more,true
John Bucy III,right now    in   texas women of reproductive age are uninsured  totaling     million texas women,true
Kirsten Gillibrand,for cabinet posts   i have the best voting record against trump nominees of anyone else running for president,true
Quentin Miller,says an ice detainer request  is not a valid warrant,true
Tammy Baldwin,states still don t have  comprehensive protections  for people in the lgbtq community,true
Tommie Pierson Jr.,says  zero  african americans have presented to the house budget committee in,true
Mike Parson,we are always going to need architects  doctors  we re going to need professionals with four year degrees  but    to    percent of the people in missouri don t have degrees,true
John Nygren,over the last eight years  we ve shown that even though we ve cut taxes by    billion  revenues continue to grow,true
Gavin Newsom,california has  the largest death row in the western hemisphere  the largest death row in the united states of america   two times the size of the next largest state  florida,true
Elizabeth Warren,the boeing     max    the type of plane that crashed in ethiopia  continues to fly in the united states  despite the faa saying  software updates are likely coming,true
Phil Berger,since       the gap in high school graduation rates between african american students and all students has been cut in half  from     percent to     percent,true
Mike Parson,we maintain this  missouri highway  system with one of the lowest levels of funding in the country,true
Chris Jones,virginia house  republicans have had more african americans on key committees than when the democrats were in control,true
E. Gordon Gee,west virginia has  the nation s lowest workforce participation rate  which hovers around    percent  when the national average is about    percent,true
Gavin Newsom,more than a million californians  do not have  clean water to bathe in or drink,true
Bobby Scott,today s minimum wage worker making       an hour has less buying power than a minimum wage worker in the     s,true
Pete Buttigieg,i have more military experience than anybody who s arrived behind that desk since george h w  bush,true
Ralph Northam,on extreme risk guns laws   this idea has passed republican legislatures in other states and has been signed by republican governors,true
Roy Cooper,a bill passed by gop legislators  makes it harder to prosecute people and groups that violate campaign finance laws,true
Nita Lowey,the facts are  the majority of opioids and all kinds of other things that are connected to the opioids are coming through the point of entry,true
Andrew Cuomo,new york has passed  the best paid family leave  program in the united states of america,true
Roy Blunt,the national defense authorization act for fiscal year       includes the largest pay raise in nearly    years,true
Mike Romano,adjusting for inflation  west virginia s median household income has not grown in a decade,true
Mike Romano,the poverty rate in west virginia  was      percent  the fourth highest in the country,true
Andrew Cuomo,there is nothing that we have done on amazon that we have not done with hundreds of other projects,true
Mike Romano,in       west virginia s         median household income was         below the national average  ranking   th,true
Bloggers,says ann coulter said   i am a settler  i am descended from settlers   not from immigrants,true
Richard Ojeda,at general motors  ceo mary barra  took home almost    million dollars last year alone     x your company s average employee,true
David McKinley,the united states  spends more on potato chips than we do on all energy r d,true
Crystal Quade,missouri  had the largest amount of millennial democrats running than any other state in the country,true
Jason Smith,in fact   out of    new jobs in america are created by small businesses,true
West Virginia Republican Party,middle class income rose to a record level in      as the strong economy lifted the fortunes of more americans,true
Richard Ojeda,we have lost more lives in the last two years  due to opioids  than all of the lives lost during the vietnam war,true
Patrick Morrisey,says joe manchin  refused to commit to kavanaugh until after the senate had the votes,true
Bloggers,trump supporters are heading to the border as the migrant caravan approaches,true
Nate McMurray,do you know that new york state pays out way more than they ever get back,true
West Virginia Republican Party,west virginia added the highest percentage of new construction jobs in      in the united states  at        this amounted to       additional jobs  in fact   wv was the only state with double digit growth,true
Donald Trump,household income among hispanic americans has just set a new record high,true
Joe Manchin,west virginia  has the highest overdose rate per capita of any state in our nation,true
Jon Tester,matt rosendale supports plans that don t have to cover  pre existing conditions,true
Marc Molinaro,on spending growth under gov  andrew cuomo   despite the fact that you continue to suggest that you ve been able to hold the two percent  you haven t,true
Claire McCaskill,my opponent is endorsed by citizens united,true
Jim Justice,thousands of folks are opening west virginia e zpass accounts,true
Joe Manchin,black lung cases are at a    year high,true
Chuck Grassley,insulin prices have  gone thru the roof for patients taxpayers bc of manufacturer  health plan   pbm biz practices,true
Jenna Wadsworth,north carolina secretary of state elaine marshall  has won more statewide races than probably anyone else alive,true
Jennifer Boysko,the united states is the only industrialized  modernized country that does not already have a paid family medical leave program in place,true
Marco Rubio,says joe biden  has issued more executive fiats than anyone in such a short period of time  ever  more than obama  more than trump  more than anyone,true
Tony Evers,we put      million in general school aids   the largest in more than a decade,true
Pat Toomey,there will be several thousand dollars in payments going to families with six figure incomes who ve had no income interruption whatsoever,true
Kirk Cox,virginia ranks  in the bottom third of states  in administering the covid    vaccine,true
Devin LeMahieu,it takes quite a while on election day to load those ballots  which is why we have the   a m  or   a m  ballot dumping in milwaukee,true
Sarah Godlewski,it wasn t all women that lost jobs  in the december jobs report   it was mostly black and latina women  in fact  white women gained employment,true
Jake Tapper,the second presidential impeachment of donald trump was  the most bipartisan impeachment in american history,true
Sherrod Brown,summer  protesters outside the white house were met with tear gas  rubber bullets  a full militarized response  while     rioters were able to breach the capitol,true
Kim Reynolds,before covid      more iowans  were  working than at any other time in our state history,true
Mitch McConnell,this election actually was not unusually close,true
Joe Biden,in more than    cases  judges  looked at the allegations that trump was making and determined they were without any merit,true
Mike Gallagher,congress has one job here  to count electoral votes that have in fact been cast by any state,true
Pat Toomey,in my state  as in many other states  we have governors who are closing down businesses again,true
Chris Larson,jurisdictions representing about     of wi residents have passed referendums or resolutions in favor of fair maps,true
Mike Gallagher,new data shows in person learning isn t driving spikes in cases,true
Tim Carpenter,wisconsin is one of the few states that doesn t allow absentee ballots to be processed before election day,true
JB Pritzker,republican elected officials  a network of propaganda publications in the state and some radio shock jocks  were spreading  a lie  about his daughter breaking covid    restrictions,true
Mandy Cohen,says covid    has killed more north carolinians in a year than the flu has in    years,true
Ralph Northam,people of color and those of not  they use marijuana at the same rate  people of color are three times more likely to get arrested and convicted,true
X posts,when donald trump lost the iowa caucus to ted cruz in        he immediately cried that cruz cheated,true
Tammy Baldwin,we heard from the department of homeland security     that this was probably the most secure election that s ever been run in the united states,true
Joe Biden,i ve released    years of my tax returns  you can go online and look   donald trump  hasn t released one,true
Theresa Greenfield,farm bankruptcies are  at an eight year high,true
Roy Cooper,says dan forest has  missed almost half of the board of education meetings during the pandemic,true
Robyn Vining,my      election was the first time speaker robin vos has lost a republican held seat,true
Facebook posts,joe biden  wants to get rid of something called  stepped up basis   that reduces inheritance taxes,true
Chris Jacobs,while serving as town supervisor  nate mcmurray voted to raise taxes on homeowners,true
Melissa Agard,potato chips  kitkat bars and viagra are not taxed in wisconsin because they are considered  essential,true
Melissa Agard,since       the state senate has only rejected five executive appointments  the gop today is more than doubling that number,true
Instagram posts,lego donates model mri kits to hospitals to help children understand the procedure and reduce their anxiety,true
Brian Krassenstein,it has been u s  policy  for at least    years  to require americans who intend to be evacuated from overseas to sign a promissory note,true
Mike Oliverio,a few years back   mitchell stadium in bluefield  w va    was voted the best high school football field in america,true
Instagram posts,beyonce paid     k for maryland metro to run later following weather delays for her concert,true
Donald Trump,florida has  the highest  homeowners insurance in the nation,true
Facebook posts,more than      dogs showed up and lined up around the block  for a man s    th birthday celebration,true
Instagram posts,an    year old boy saved the lives of two people on the same day,true
Kelda Helen Roys,infertility is treated differently than other issues and  often excluded from insurance coverage,true
Francis Suarez,just last year   miami dade public schools  had over        new children         of which came from four countries of cuba  nicaragua  venezuela and haiti,true
Tim Scott,for african american families in particular  the homeownership rate remains relatively unchanged since       the year the fair housing act was signed into law,true
Robin Vos,when a basketball player or football or baseball player from another team plays in wisconsin  that one game s salary  they pay wisconsin income tax on it      so  if for some reason we do not have the brewers in wisconsin all of those player salaries that generate dollars for the state of wisconsin go away,true
Facebook posts,if you need girl scout cookies this year and don t have a local troop to support  please consider buying from troop       which is entirely made up of girls living in nyc s homeless shelters,true
Jonathan Martin,joe biden was older on his first day as president than ronald reagan was on his last day,true
Kirsten Gillibrand,many law enforcement agencies didn t submit their  hate crime  data to the fbi,true
Paul Ryan,wow county swing suburban voters  in wisconsin  don t vote for donald trump,true
Ron DeSantis,manhattan district attorney alvin bragg  has downgraded over     of the felonies to misdemeanors,true
Fentrice Driskell,of every     ron desantis  spends comes from the federal government,true
Robert Ortt,if new york s proposed limits on natural gas in buildings take effect  the grid today can t handle the increased electric load,true
Tony Evers,wisconsin is the nation s top cranberry producer   in fact  our farmers harvest around    percent of the country s crop,true
Morgan Luttrell,biden drained america s strategic petroleum reserves to the lowest level since,true
Melissa Agard,historically  our spring elections  including for state supreme court  have a smaller turnout associated with them,true
Tammy Baldwin,latina workers make    cents for every dollar earned by white  non hispanic men,true
Kevin Brady,joe biden s     billion for a union pension fund is  the largest private pension bailout in american history,true
Elise Stefanik,proposed rule would limit milk for wic participants,true
Bryan Steil,in milwaukee   the  homicide  rate has nearly doubled in the past two years,true
Joe Biden,gas prices are down back to where they were before russia invaded ukraine,true
Joe Manchin,west virginia is poised to  receive    m for     orphaned well clean up projects across the state,true
Everytown for Gun Safety,kari lake is opposed to red flag laws,true
Roy Cooper,georgia has  almost         more  covid     cases  almost twice as many deaths and almost     more nursing home deaths than north carolina,true
Jim Justice,west virginia has one of the greatest percentages of veterans in any state,true
Facebook posts,wisconsin republicans have not passed a single bill in   months,true
Joe Biden,the president s own fbi director said that the greatest domestic terrorist threat is white supremacists,true
Phil Scott,that     wealth tax  starts at          per family,true
Michael Burgess,in the last    years less than half of adults in the u s  received a flu shot,true
Chris Larson,republicans  have the power to overturn the  state of emergency  order by joint resolution and they refuse to do it,true
Caleb Rowden,over three months after receiving cares act relief funds from the state  the county has still not made those dollars available to help struggling mid missourians,true
Joe Biden,iran has stockpiled    times as much enriched uranium as it had  in,true
Nick Freitas,abigail spanberger  has voted with nancy pelosi over     of the time,true
Democratic Congressional Campaign Committee,nick freitas  supports a plan letting insurance companies deny coverage for preexisting conditions like asthma or diabetes,true
Facebook posts,video showed police thank  kyle rittenhouse    give him water prior to the killings,true
Chris Larson,police are       times more likely to kill than be killed by a criminal,true
Michelle Obama,in one of the states that determined the outcome  of the      presidential race   the winning margin averaged out to just two votes per precinct  two votes,true
National Republican Senatorial Committee,cal cunningham  voted for over    billion in new taxes,true
Cory Booker,says the u s  senate is  dominated by millionaires  and that he is  not one of them,true
Instagram posts,the gop lawyer who helped kanye west get on the ballot in wisconsin is actively working for donald trump s campaign,true
M.J. Hegar,says   in   texans did not have health insurance coverage before the pandemic  and now  nearly   in   texans under the age of    don t have access to health care insurance,true
Joe Biden,on home health workers  low pay and limited benefits       are still on snap or medicaid,true
Donald Trump,murders this year have spiked     in philadelphia,true
Public Citizen,taxpayers spent             to develop this drug   remdesivir,true
Mike Gallagher,the average family in america forks over more of their hard earned income to their local hospital than to the irs,true
Sunny Hostin,homicides are intraracial  when you look at white on white crime  it s      right  homicides  white people kill white people,true
Chris Hayes,higher education is one of america s strongest export sectors  over   million international students studied at american universities   in the          school year  they contributed over     billion to the economy,true
Ron McMullen,former u s  vice president richard mentor johnson was a slave owner married to one of his slaves and father of two children with her,true
John Cornyn,the united states has not completed a  top to bottom review of our criminal justice system at the national level since,true
Dan Forest,north carolina is one of four states  that hasn t opened gyms,true
Priorities USA Action,says president trump said coronavirus testing makes the u s  look bad   so i said to my people   slow the testing down,true
Facebook posts,says a      milwaukee ymca brochure shows children playing a violent  racist carnival game,true
Jeanette Kowalik,our health department  our city and our county declared racism as a public health crisis last year,true
Scott Walker,tax cuts approved and those proposed in his state budget  will exceed    billion by the time the budget is done,true
Samantha Bee,the new york state senate  passed legislation allowing minors to race snowmobiles  get their own hunting licenses  and not be employed gathering or picking rags  cigar stumps  or collecting bones,true
Mark Pocan,seven years later   scott walker  has not hit his first campaign promise of creating         jobs,true
Donald Trump,says jon ossoff  doesn t even live in  his  district,true
Ivanka Trump,there are currently   million jobs available in this country that are due in part to the skills gap,true
Derrick Crowe,says each of the past three years  has been the hottest on record,true
Richard Burr,says the senate intelligence committee has held    public hearings this year   more than double that held by the committee in any recent year,true
Rafael Anchia,how many federal rulings have now found intentional discrimination by  txlege since,true
Ann McLane Kuster,for    percent of n h  meals on wheels recipients  the delivery driver is  the only human contact in their life from week to week,true
David Lewis,the waiting list for pre k is over in the house budget,true
Ann Hudspeth,texas leads the country in animal deaths by sodium cyanide m   s,true
Debbie Wasserman Schultz,syria and nicaragua are the only nations that didn t sign the paris agreement  nicaragua said it wasn t tough enough,true
John Kelly,many of the countries in question  in trump s travel ban  don t even have a u s  embassy there to help us vet,true
Claire McCaskill,due to the recent downturn in steel production  more than        americans have been laid off and the steel industry is facing billions in losses,true
Charles Schumer,president obama became the first president since carter to leave the white house with a smaller federal prison population than when he took office,true
Donald Trump,the federal tax code includes  deductions for birds flying across america,true
Glenn Grothman,planned parenthood is the biggest abortion provider in the country,true
Thomas Croci,in some cases  a sex offender  who appears on the new york state sex offender registry  would be able to drive for uber or lyft when ride hailing is allowed upstate in july,true
Donald Trump,general flynn got his clearance from the obama administration,true
Rex Tillerson,china account s  for    percent of north korean trade,true
Scott Peters,the estimated price of president trump s border wall is the same as the cost of  one and a half aircraft carriers,true
Rana Foroohar,there s no real evidence in the last    years that  growth from tax cuts has made up lost revenue,true
Ron Kind,we re experiencing a net outflow of illegal  undocumented workers from america back to mexico,true
Donald Trump,illegal immigration on the u s  mexico border is  the lowest in    years,true
Allen Andrews,missouri is actually the only state that has been forced to borrow money from the federal government to pay for unemployment benefits during each of the last five economic downturns,true
Edward Markey,trump looking to open up e coast   new areas for offshore oil drilling when congress has passed no new safety standards since bp,true
Sheriff David Clarke for U.S. Senate,says milwaukee county sheriff david a  clarke jr  has said black lives matter  is a terrorist movement  a hate group and calls it  black lies matter,true
Sara Stevenson,says a texas senate committee considering  private school voucher  legislation randomly called people to testify regardless of when the people submitted requests to testify,true
Joseph Crowley,more than    million people are at risk of dying from starvation within   months in   nations,true
Wendell Young,house bill      could lead to the opening of as many as       new liquor stores,true
Michael Kearns,when i saw corruption and sexual harassment cover ups i called on sheldon silver to resign,true
Eric Holcomb,we re growing union jobs faster than illinois,true
